altitude,latitude,longitude,station
154.66162109375,43.5794258356308,1.473118127214,00238-herbettes-butte
140.835540771484,43.6245910885719,1.44305961173252,00151-curie-negreneys
136.297637939453,43.64066,1.4401,00261-van-dyck-launaguet
145.496429443359,43.5950494917563,1.43268830787728,00072-fitte-cugnaux
148.17741394043,43.5785038852904,1.45028408337638,00159-urss-devic
139.683578491211,43.62957,1.47643,00258-cambard
151.519744873047,43.5942648504409,1.45632183659129,00101-capt-port-st-sauveur
166.487075805664,43.5796553266431,1.48049587613679,00201-potez-st-exupery
151.998718261719,43.6058323211838,1.45293970882842,00039-place-damloup
140.566345214844,43.6312467293126,1.46224809751689,00169-albi-jaffary
155.95622253418,43.58444,1.39867,00263-lycee-polyvalent
142.255630493164,43.5942067652692,1.41065111417402,00194-lombez-hippodrome
